Name,Class,Probability
Positive_2,Allergen,1.0
Positive_5,Non-Allergen,0.0
Positive_6,Allergen,0.683
Positive_13,Allergen,0.999
Positive_26,Non-Allergen,0.001
Positive_28,Non-Allergen,0.0
Positive_31,Non-Allergen,0.0
Positive_32,Allergen,0.999
Positive_33,Allergen,1.0
Positive_36,Allergen,0.998
Positive_44,Allergen,1.0
Positive_46,Non-Allergen,0.0
Positive_50,Non-Allergen,0.446
Positive_51,Allergen,0.999
Positive_64,Allergen,1.0
Positive_65,Non-Allergen,0.017
Positive_66,Non-Allergen,0.0
Positive_69,Allergen,1.0
Positive_70,Non-Allergen,0.0
Positive_81,Allergen,1.0
Positive_84,Allergen,1.0
Positive_85,Allergen,1.0
Positive_105,Allergen,1.0
Positive_117,Allergen,0.966
Positive_119,Allergen,1.0
Positive_120,Allergen,1.0
Positive_124,Allergen,1.0
Positive_129,Allergen,1.0
Positive_130,Allergen,1.0
Positive_133,Allergen,1.0
Positive_141,Non-Allergen,0.039
Positive_143,Non-Allergen,0.0
Positive_145,Allergen,1.0
Positive_146,Non-Allergen,0.005
Positive_147,Allergen,1.0
Positive_148,Allergen,1.0
Positive_170,Allergen,1.0
Negative_175,Non-Allergen,0.0
Negative_176,Non-Allergen,0.0
Negative_177,Non-Allergen,0.0
Negative_178,Non-Allergen,0.0
Negative_179,Non-Allergen,0.0
Negative_180,Non-Allergen,0.0
Negative_181,Non-Allergen,0.0
Negative_182,Non-Allergen,0.0
Negative_183,Non-Allergen,0.0
Negative_184,Non-Allergen,0.0
Negative_185,Non-Allergen,0.0
Negative_186,Non-Allergen,0.0
Negative_187,Non-Allergen,0.0
Negative_188,Non-Allergen,0.0
Negative_189,Non-Allergen,0.0
Negative_190,Non-Allergen,0.0
Negative_191,Non-Allergen,0.0
Negative_192,Non-Allergen,0.0
Negative_193,Non-Allergen,0.0
Negative_194,Non-Allergen,0.0
Negative_195,Non-Allergen,0.0
Negative_196,Non-Allergen,0.0
Negative_198,Non-Allergen,0.067
Negative_199,Non-Allergen,0.0
Negative_200,Non-Allergen,0.246
Negative_201,Non-Allergen,0.0
Negative_203,Non-Allergen,0.0
Negative_204,Non-Allergen,0.011
Negative_205,Non-Allergen,0.0
Negative_206,Non-Allergen,0.0
Negative_207,Non-Allergen,0.0
Negative_208,Non-Allergen,0.0
Negative_209,Non-Allergen,0.0
Negative_210,Non-Allergen,0.0
