Name,Class,Probability
Negative_1,Non-Allergen,0.0
Negative_2,Allergen,1.0
Negative_3,Non-Allergen,0.0
Negative_4,Non-Allergen,0.0
Negative_5,Non-Allergen,0.0
Negative_6,Non-Allergen,0.0
Negative_7,Non-Allergen,0.0
Negative_8,Non-Allergen,0.0
Negative_9,Non-Allergen,0.0
Negative_10,Non-Allergen,0.0
Negative_11,Non-Allergen,0.0
Negative_12,Non-Allergen,0.0
Negative_13,Non-Allergen,0.0
Negative_14,Non-Allergen,0.0
Negative_15,Non-Allergen,0.0
Negative_17,Non-Allergen,0.0
Negative_20,Non-Allergen,0.0
Negative_22,Non-Allergen,0.0
Negative_24,Non-Allergen,0.0
Negative_25,Non-Allergen,0.0
Negative_26,Non-Allergen,0.0
Negative_27,Non-Allergen,0.0
Negative_29,Non-Allergen,0.0
Negative_30,Non-Allergen,0.0
Negative_31,Allergen,0.948
Negative_32,Allergen,0.911
Negative_36,Non-Allergen,0.111
Negative_38,Allergen,1.0
Negative_41,Non-Allergen,0.0
Negative_42,Non-Allergen,0.0
Negative_43,Non-Allergen,0.003
Negative_44,Non-Allergen,0.0
Negative_46,Non-Allergen,0.0
Negative_48,Non-Allergen,0.0
Negative_50,Non-Allergen,0.0
Negative_51,Non-Allergen,0.0
Negative_52,Non-Allergen,0.0
Negative_53,Non-Allergen,0.0
Negative_54,Non-Allergen,0.006
Negative_55,Non-Allergen,0.0
Negative_56,Non-Allergen,0.0
Negative_57,Non-Allergen,0.001
Negative_58,Non-Allergen,0.0
Negative_59,Non-Allergen,0.218
Negative_60,Non-Allergen,0.0
Negative_61,Non-Allergen,0.0
Negative_62,Non-Allergen,0.0
Negative_63,Non-Allergen,0.0
Negative_64,Non-Allergen,0.001
Negative_69,Non-Allergen,0.0
Negative_70,Non-Allergen,0.0
Negative_71,Non-Allergen,0.0
Negative_72,Non-Allergen,0.0
Negative_73,Non-Allergen,0.0
Negative_74,Non-Allergen,0.0
Negative_75,Non-Allergen,0.0
Negative_76,Non-Allergen,0.0
Negative_77,Non-Allergen,0.0
Negative_78,Non-Allergen,0.0
Negative_79,Non-Allergen,0.0
Negative_80,Non-Allergen,0.0
Negative_81,Non-Allergen,0.0
Negative_82,Non-Allergen,0.0
Negative_83,Non-Allergen,0.0
Negative_84,Non-Allergen,0.0
Negative_85,Non-Allergen,0.0
Negative_86,Non-Allergen,0.0
Negative_87,Non-Allergen,0.0
Negative_88,Non-Allergen,0.0
Negative_89,Non-Allergen,0.0
Negative_94,Non-Allergen,0.0
Negative_95,Non-Allergen,0.0
Negative_96,Non-Allergen,0.0
Negative_99,Non-Allergen,0.0
Negative_100,Non-Allergen,0.0
Negative_102,Non-Allergen,0.001
Negative_103,Allergen,0.698
Negative_104,Non-Allergen,0.02
Negative_105,Non-Allergen,0.0
Negative_106,Non-Allergen,0.0
Negative_107,Non-Allergen,0.0
Negative_108,Non-Allergen,0.0
Negative_110,Non-Allergen,0.002
Negative_111,Non-Allergen,0.0
Negative_112,Non-Allergen,0.0
Negative_113,Non-Allergen,0.0
Negative_114,Non-Allergen,0.0
Negative_116,Non-Allergen,0.0
Negative_117,Non-Allergen,0.0
Negative_118,Non-Allergen,0.0
Negative_119,Non-Allergen,0.0
Negative_120,Non-Allergen,0.044
Negative_121,Non-Allergen,0.092
Negative_122,Non-Allergen,0.001
Negative_123,Non-Allergen,0.0
Negative_124,Non-Allergen,0.001
Negative_125,Non-Allergen,0.0
Negative_128,Non-Allergen,0.0
Negative_129,Non-Allergen,0.0
Negative_130,Non-Allergen,0.0
Negative_131,Non-Allergen,0.0
Negative_132,Non-Allergen,0.0
Negative_133,Non-Allergen,0.0
Negative_134,Non-Allergen,0.0
Negative_135,Non-Allergen,0.0
Negative_136,Non-Allergen,0.0
Negative_137,Non-Allergen,0.001
Positive_139,Non-Allergen,0.006
Negative_141,Non-Allergen,0.0
Negative_142,Non-Allergen,0.0
Negative_143,Non-Allergen,0.0
Negative_144,Non-Allergen,0.0
Negative_152,Non-Allergen,0.0
Negative_154,Non-Allergen,0.394
Negative_155,Non-Allergen,0.481
Negative_157,Non-Allergen,0.0
Negative_159,Non-Allergen,0.0
Negative_160,Non-Allergen,0.0
Negative_161,Non-Allergen,0.0
Negative_162,Non-Allergen,0.0
Negative_163,Non-Allergen,0.0
Negative_164,Non-Allergen,0.0
Negative_165,Non-Allergen,0.0
Negative_166,Non-Allergen,0.0
Negative_167,Non-Allergen,0.0
Negative_168,Non-Allergen,0.0
Positive_169,Allergen,1.0
Negative_170,Non-Allergen,0.0
Negative_171,Non-Allergen,0.0
Negative_172,Non-Allergen,0.0
Negative_173,Non-Allergen,0.0
Negative_175,Non-Allergen,0.0
Negative_176,Non-Allergen,0.014
Negative_178,Non-Allergen,0.0
Negative_179,Non-Allergen,0.0
Negative_180,Non-Allergen,0.0
Negative_181,Non-Allergen,0.0
Negative_182,Non-Allergen,0.001
Negative_184,Non-Allergen,0.0
Positive_185,Allergen,1.0
Negative_187,Non-Allergen,0.0
Negative_188,Non-Allergen,0.0
Negative_190,Non-Allergen,0.0
Negative_193,Non-Allergen,0.0
Negative_194,Non-Allergen,0.0
Negative_195,Non-Allergen,0.0
Negative_196,Non-Allergen,0.0
Negative_198,Non-Allergen,0.0
Negative_199,Non-Allergen,0.0
Negative_200,Non-Allergen,0.005
Negative_201,Non-Allergen,0.0
Negative_202,Non-Allergen,0.0
Negative_203,Non-Allergen,0.0
Negative_205,Allergen,0.999
Negative_206,Non-Allergen,0.0
Negative_209,Non-Allergen,0.0
Negative_210,Non-Allergen,0.0
Negative_212,Non-Allergen,0.0
Negative_216,Non-Allergen,0.0
Negative_217,Allergen,0.993
Negative_218,Non-Allergen,0.0
Negative_220,Non-Allergen,0.0
Negative_221,Non-Allergen,0.0
Negative_223,Non-Allergen,0.004
Negative_228,Non-Allergen,0.0
Negative_229,Non-Allergen,0.0
Negative_230,Non-Allergen,0.0
Negative_233,Non-Allergen,0.001
Negative_235,Non-Allergen,0.002
Negative_236,Non-Allergen,0.001
Negative_238,Non-Allergen,0.0
Negative_239,Non-Allergen,0.0
Negative_240,Non-Allergen,0.0
Negative_242,Non-Allergen,0.0
Negative_244,Non-Allergen,0.0
Negative_245,Non-Allergen,0.0
Negative_246,Non-Allergen,0.0
Negative_247,Allergen,0.731
Negative_248,Non-Allergen,0.0
Positive_249,Allergen,0.974
Negative_250,Non-Allergen,0.0
Negative_251,Non-Allergen,0.001
Negative_252,Non-Allergen,0.0
Negative_253,Non-Allergen,0.0
Negative_254,Non-Allergen,0.036
Negative_256,Non-Allergen,0.0
Negative_257,Non-Allergen,0.012
Negative_259,Non-Allergen,0.0
Negative_260,Non-Allergen,0.003
Negative_262,Allergen,1.0
Negative_264,Non-Allergen,0.0
Negative_265,Non-Allergen,0.0
Negative_266,Non-Allergen,0.0
Negative_268,Allergen,0.864
Negative_271,Non-Allergen,0.0
Negative_274,Non-Allergen,0.0
Negative_275,Non-Allergen,0.0
Negative_276,Non-Allergen,0.0
Negative_277,Non-Allergen,0.0
Negative_280,Non-Allergen,0.0
Negative_281,Non-Allergen,0.0
Negative_282,Non-Allergen,0.0
Negative_283,Non-Allergen,0.0
Negative_284,Non-Allergen,0.0
Positive_285,Allergen,0.994
Negative_286,Non-Allergen,0.0
Negative_287,Non-Allergen,0.001
Negative_288,Non-Allergen,0.0
Negative_289,Non-Allergen,0.0
Positive_291,Allergen,1.0
Negative_292,Non-Allergen,0.0
Negative_293,Non-Allergen,0.0
Negative_295,Non-Allergen,0.0
Negative_298,Non-Allergen,0.0
Negative_299,Non-Allergen,0.0
Negative_300,Non-Allergen,0.0
Negative_301,Non-Allergen,0.0
Negative_304,Non-Allergen,0.0
Negative_305,Non-Allergen,0.0
Positive_306,Non-Allergen,0.0
Negative_307,Non-Allergen,0.0
Negative_308,Non-Allergen,0.0
Negative_309,Non-Allergen,0.0
Negative_310,Non-Allergen,0.0
Negative_311,Non-Allergen,0.0
Positive_312,Non-Allergen,0.0
Negative_313,Allergen,0.994
Negative_315,Non-Allergen,0.0
Negative_317,Non-Allergen,0.005
Negative_318,Non-Allergen,0.0
Negative_319,Non-Allergen,0.0
Negative_320,Non-Allergen,0.136
Negative_321,Non-Allergen,0.0
Positive_322,Allergen,1.0
Negative_323,Non-Allergen,0.0
Negative_325,Non-Allergen,0.003
Negative_326,Non-Allergen,0.0
Negative_327,Non-Allergen,0.0
Positive_328,Allergen,1.0
Negative_330,Non-Allergen,0.0
Negative_331,Non-Allergen,0.0
Negative_332,Non-Allergen,0.0
Negative_333,Non-Allergen,0.0
Positive_334,Non-Allergen,0.016
Negative_335,Non-Allergen,0.0
Negative_336,Non-Allergen,0.0
